REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/tmp/tmpt3wcl02c.wav	 /tmp/tmpokl796ir.wav	 -1.000	 1.295	 16000	wb
/tmp/tmpn5ua482p.wav	 /tmp/tmp4dhc_ddc.wav	 -1.000	 1.057	 16000	wb
/tmp/tmpkg_tgax0.wav	 /tmp/tmpjw0ha6c4.wav	 -1.000	 1.069	 16000	wb
/tmp/tmpwumak14d.wav	 /tmp/tmp66is0wxx.wav	 -1.000	 1.038	 16000	wb
/tmp/tmpigqetoqq.wav	 /tmp/tmpp0ny5cfc.wav	 -1.000	 1.037	 16000	wb
/tmp/tmpuqym78eh.wav	 /tmp/tmp_e0twi9w.wav	 -1.000	 1.043	 16000	wb
/tmp/tmpjumpl9ir.wav	 /tmp/tmpstsn1s4x.wav	 -1.000	 1.087	 16000	wb
/tmp/tmpan_rxaxy.wav	 /tmp/tmptamxkdus.wav	 -1.000	 1.033	 16000	wb
/tmp/tmpa6oabpzc.wav	 /tmp/tmp8ddxmzx3.wav	 -1.000	 1.081	 16000	wb
/tmp/tmpxb9f4vlg.wav	 /tmp/tmpxdn4tjov.wav	 -1.000	 1.038	 16000	wb
/tmp/tmp7mef89s3.wav	 /tmp/tmpza7f26_s.wav	 -1.000	 1.075	 16000	wb
/tmp/tmpcwhbr7wk.wav	 /tmp/tmps508w9j9.wav	 -1.000	 1.045	 16000	wb
/tmp/tmphu84vxgi.wav	 /tmp/tmp1sx3vc8a.wav	 -1.000	 1.047	 16000	wb
/tmp/tmpeeyq8_c8.wav	 /tmp/tmp2tb3cqwc.wav	 -1.000	 1.051	 16000	wb
/tmp/tmpkdsm2l9w.wav	 /tmp/tmp0zm9cqpa.wav	 -1.000	 1.045	 16000	wb
/tmp/tmp5z5dxppf.wav	 /tmp/tmp4qtpv__k.wav	 -1.000	 1.032	 16000	wb
/tmp/tmp8ngwtjpf.wav	 /tmp/tmpkp96s9ey.wav	 -1.000	 1.042	 16000	wb
/tmp/tmp5y6g1lo2.wav	 /tmp/tmp6fzuu13g.wav	 -1.000	 1.061	 16000	wb
/tmp/tmpt9z70yz1.wav	 /tmp/tmpy60mw_z1.wav	 -1.000	 1.036	 16000	wb
/tmp/tmpd1ce0as2.wav	 /tmp/tmpstr9j4xx.wav	 -1.000	 1.028	 16000	wb
/tmp/tmp3lnuaedl.wav	 /tmp/tmpjh54lz7d.wav	 -1.000	 1.036	 16000	wb
